	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV14993	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV14994	Bacteria	NA	NA	NA	NA	NA	NA
ASV14996	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV14997	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA
ASV14998	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA	NA
ASV14999	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA	NA
ASV15000	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA
ASV15001	Bacteria	Desulfobacterota	Desulfuromonadia	NA	NA	NA	NA
ASV15002	Bacteria	Verrucomicrobiota	Verrucomicrobiae	NA	NA	NA	NA
ASV15003	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA
ASV15004	Bacteria	Verrucomicrobiota	Lentisphaeria	NA	NA	NA	NA
ASV15005	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA286-E23	NA	NA
ASV15006	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV15007	Bacteria	NA	NA	NA	NA	NA	NA
ASV15008	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA	NA
ASV15009	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV15010	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	NA
ASV15011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15012	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15013	Bacteria	NA	NA	NA	NA	NA	NA
ASV15014	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV15015	Bacteria	NA	NA	NA	NA	NA	NA
ASV15016	Bacteria	Verrucomicrobiota	NA	NA	NA	NA	NA
